work	n_chunks	median	p25	p75	title
SA_K10_bsu034_u	73	507	387	585	Samādhirājasūtra
SA_K12_dhvajkdu	1	507	507	507	Dhvajāgrakeyurā-dhāraṇī
SA_MB_hamsasaraHK	1	508	508	508	Unknown: haṃsasāra
SA_K12_mekhdh_u	1	509	509	509	Mekhalā-dhāraṇī
SA_T02_Vajrapāṇi_Laghutantraṭīkā_Cicuzza_2001	16	509	348	688	
SA_MB_jnaanasankaliniitantramHK	3	509	384	520	Unknown: jñānasaṅkalinītantra
SA_K03_psp_4u	56	510	416	639	Pañcaviṃśatisāhasrikā Prajñāpāramitā IV [Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra]
SA_K08_kasyparu	15	511	441	545	Kāśyapaparivartasūtra [Kāśyapaparivarta]
SA_K12_n2990u	2	511	462	559	Āryaśrīgrahamātṛkā nāma dhāraṇī
SA_GSP31_tsc_vivu	3	511	444	653	Sāṃkhyasūtravivaraṇa
SA_K14_bsa052_u	58	512	444	615	Dharmasamuccaya [Saddharmasmṛtyupasthānakārikā]
SA_K02_sspp2_2u	73	513	369	698	Śatasāhasrikā Prajñāpāramitā II-2 [Śatasāhasrikāprajñāpāramitāsūtra]
SA_GSP31_tttvsamu	1	513	513	513	Tattvasamāsa
SA_T10_bsa025_u	5	514	429	529	Ratnāvalī [Ratnamālā]
SA_GE09_ram_05_u	55	515	451	584	Rāmāyaṇa: 5. Sundarakaṇḍa
SA_T09_jatkstpu	1	515	515	515	Jātakastava
SA_GE09_ram_07_u	55	516	473	572	Rāmāyaṇa: 7. Uttarakāṇḍa
SA_K12_maricdhu	1	517	517	517	Mārīcīnāmadhāraṇī
SA_GE09_ram_03_u	44	517	454	572	Rāmāyaṇa: 3. Araṇyakāṇḍa
SA_T06_pskvbhu	26	518	504	545	Pañcaskandhakavibhāṣā
SA_GR13_uddamt_u	13	518	486	556	Uḍḍāmareśvaratantra
SA_T04_bsa035_u	1	518	518	518	Bodhisattvādikarmikamārgāvatāradeśanā
SA_K12_Āgama_Mañjuśrīnāmasaṃgīti_Vira-Chandra_1966	4	518	350	744	
SA_T02_Vajragarbha_Ṣaṭsāhasrikā-Hevajratantra_Shendge_2004	34	519	395	664	
SA_T04_bsu060_u	6	519	421	545	Karmavibhaṅgopadeśa
SA_T03_bsa033_u	16	521	415	591	Abhisamayālaṅkārāntaḥ pātināṃ
SA_GE07_mbh_02_u	105	522	424	610	Mahābhārata: Sabhāparvan
SA_GS39_minsmaru	5	522	467	593	Smaradīpikā
SA_K12_bsu050_u	1	523	523	523	Svalpākṣarā prajñāpāramitā
SA_GP12_garup	130	523	451	602	Garuḍa-Purāṇa
SA_MB_amsumatkaasyapaamgamaHK	83	524	434	612	Unknown: aṃśumatkāśyapāgama
SA_GV06_apsulb_u	5	524	271	527	Āpastamba-Śulbasūtra
SA_T06_sthmavt1	12	525	519	537	Madhyāntavibhāgaṭīkā Chapter 1
SA_GP12_vampsm_u	25	525	461	568	Vāmana-Purāṇa
SA_T02_Raviśrījñāna_Guṇabharaṇī-Ṣaḍaṅgayoga_Sferra_2000	33	525	316	798	
SA_K06_n2882u	6	525	477	621	Pañcaśatikāprajñāpāramitā [Pañcaśatikāprajñāpāramitāsūtra]
SA_GSP33_brssbh2u	44	526	178	642	Brahmasūtra: Adhyāya 2
SA_K03_psp_1u	103	526	415	653	Pañcaviṃśatisāhasrikā Prajñāpāramitā I [Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra]
SA_K12_mspram_u	15	527	444	651	Mahāsāhasrapramardanī
SA_T04_bsa038_u	2	528	424	632	Sūtrārthasamuccayopadeśa
SA_K12_bsu012_u	4	528	428	620	Bhaiṣajyaguruvaidūryaprabharājasūtra
SA_T01_n889u	1	529	529	529	Mañjuvajrastotra
SA_K10_vimkn_u	32	531	465	591	Vimalakīrtinirdeśa [Vimalakīrtinirdeśasūtra]
SA_T17_byogalbu	14	532	442	583	Buddhist Yoga Manual
SA_GR14_bhrgus_u	115	532	451	659	Bhṛgu-Saṃhitā
SA_GE07_mbh_16_u	8	532	464	627	Mahābhārata: Mausalaparvan
SA_GV05_kaivup_u	1	532	532	532	Kaivalya-Upaniṣad
SA_T01_n888u	1	533	533	533	Maṅgalaṣoḍaśastuti
SA_GS24_jvkasipu	596	533	394	711	Kāśikāvṛtti
SA_K01_n2896u	3	533	463	564	Śrīlokeśvarabhāṣitaparājikā
SA_GSP32_vaissu1u	4	533	521	546	Vaiśeṣikasūtra
SA_T06_sthmavt	43	534	518	550	Madhyāntavibhāgaṭīkā
SA_K01_bsu011_u	1	535	535	535	Bodhisattvaprātimokṣasūtra
SA_GR13_stkal_pu	7	535	436	607	Sārdhatriśatikālottarāgama
SA_K09_bsu014_u	34	536	443	613	Daśabhūmikasūtra
SA_K12_n221u	1	536	536	536	Ṣaṇmukhīdhāraṇī
SA_K12_Āgama_Mañjuśrīmūlakalpa_Shastri_1925	54	536	455	629	
SA_GS24_paninipu	39	537	459	573	Aṣṭādhyāyī
 SA_K12_n283u	4	537	477	588	Bhaiṣajyaguruvaidūryaprabharājasūtra
SA_T06_sthtvbh	11	537	490	574	Triṃśikāvijñaptibhāṣya [Triṃśikābhāṣya]
SA_K10_bsu010_u	1	537	537	537	Bhavasaṅkrāntisūtra
SA_GK20_sypadatu	11	538	516	739	Pāḍatāḍitaka
SA_MB_advayataarakopanisatHK	1	538	538	538	Unknown: advayatārakopaniṣat
SA_GSP29_nysvbh_u	65	539	393	619	Nyāyasūtra
SA_T06_bsa073_u	21	539	502	589	Ratnagotravibhāga [Ratnagotravibhāga Mahāyānottaratantraśāstra, Ratnagotravibhāga-Mahāyāna-Uttaratantra, Uttaratantra]
SA_GP11_brahmppu	290	539	439	688	Brahma-Purāṇa
SA_MB_jnaanakaarikaaHK	2	539	518	561	matsyendrānātha: jñānakārikā
SA_K10_sf68_sc	1	540	540	540	
SA_K12_bsu035_u	26	542	493	654	Suvarṇaprabhāsasūtra [Suvarṇaprabhāsottama(sūtra), Suvarṇabhāsottama-sūtra, Suvarṇa(pra)bhāsottama-sūtrendrarāja]
SA_K03_psp_6-8u	50	542	448	612	Pañcaviṃśatisāhasrikā Prajñāpāramitā VI-VIII [Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra]
SA_K10_ayuhparu	4	543	418	562	Āyuḥparyantasūtra
SA_GP12_mkp1-93u	98	544	447	642	Mārkaṇḍeya-Purāṇa
SA_GE07_naray__u	48	544	383	645	Nārāyaṇīya
SA_GP12_brndp2_u	117	544	405	621	Brahmāṇḍa-Purāṇa 2
SA_T06_bsa030_u	17	546	452	569	Mahāyānasūtrālaṃkāra
SA_K12_mpratpru	12	547	463	593	Mahāpratisarā-vidyārājñī [Mahāpratisarādhāraṇī(sūtra)]
SA_GP12_narsippu	71	547	501	645	Narasiṃha-Purāṇa
SA_T04_bsa058_u	4	547	493	612	Bhavasaṅkrāntiṭīkā
SA_T08_suvrnavu	23	547	452	665	Suvarṇavarṇāvadāna
SA_GSP32_vaissutika	10	548	398	624	Vaiśeṣikasūtraṭīkā
SA_GP12_vamp__u	94	548	456	608	Vāmana-Purāṇa
SA_T06_n1333u	1	549	549	549	Cittatattvasaṅgraha
SA_GE07_mbh_09_u	82	549	483	622	Mahābhārata: Śalyaparvan
SA_K10_dvavims_tu	35	549	527	635	Dvāviṃśatyavadānakathā
SA_GV06_dantyovu	1	549	549	549	Dantyoṣṭhyavidhi
SA_K10_ratnakeu	27	550	439	629	Mahāsannipātaratnaketudhāraṇīsūtra  [Ratnaketuparivarta, Ratnaketudhāraṇīsūtra]
SA_GSP28_mjnya03u	36	551	532	571	Jaiminīyanyāyamālāvistara: Adhyāya 3
SA_GP12_lip_1_pu	138	551	470	642	Liṅga-Purāṇa 1
SA_K10_bsu022_u	90	551	438	667	Lalitavistara [Lalitavistarasūtra]
SA_K12_bsu056_u	1	552	552	552	Adhyardhaśatikā prajñāpāramitā [Adhyardhaśatikāprajñāpāramitāsūtra]
SA_K12_vjviddhu	1	552	552	552	Vajravidāraṇā-dhāraṇī
SA_GK19_bhakirpu	21	552	535	579	Kirātārjunīya
SA_MB_aryamanjusrimulakalpa2HK	75	553	454	643	Unknown: āryamañjuśrīmūlakalpam Part 2
SA_GR14_jnass01u	21	553	503	659	Jñānāmṛtasāra-Saṃhitā [Nārada-Pañcarātra]
SA_K03_psp_5u	51	553	460	650	Pañcaviṃśatisāhasrikā Prajñāpāramitā V [Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra]
SA_GE09_ram_01_u	40	555	508	599	Rāmāyaṇa: 1. Bālakāṇḍa
SA_GSP29_gaunys_u	11	555	451	733	Nyāyasūtra
SA_T09_ajm_u	22	555	499	637	Jātakamālā
SA_MB_paraanandasutraHK	34	556	-67	746	parānanda muni: parānandasūtra
SA_T02_Mañjuśrīyaśa_Laghukālacakratantra-Vimalaprabhā-Vol3_Dwivedi-Bahulkar_1994	35	556	454	669	
SA_GE07_mbh_04_u	103	558	438	623	Mahābhārata: Virāṭaparvan
SA_K08_bsu029_u	13	558	508	638	Rāṣṭrapālaparipṛcchā [Rāṣṭrapālaparipṛcchāsūtra]
SA_GSP32_paddhs_u	8	559	543	583	Padārthadharmasaṃgraha
SA_K10_tbimbk_u	1	559	559	559	Tathāgatabimbakārāpaṇasūtra
SA_T02_msitvatu	2	559	529	589	Mahāśītavatī vidyārājñī
SA_GR13_svact_pu	74	559	459	647	Svacchandatantra [Svacchandabhairavatantra]
SA_GSD36_yajn2_pu	21	560	447	661	Yājñavalkyasmṛti
SA_K14_amoghapu	3	561	522	593	Āmoghapāśanāmahṛdayasūtra [Āryāmoghapāśanāmahṛdayasūtra]
SA_K10_bsu018_u	57	562	512	617	Sarvajñatākāradhāraṇī [Karuṇāpuṇḍarīka(sūtra)]
SA_K06_bsu030_u	40	563	453	654	Suvikrāntavikrāmiparipṛcchā  [Suvikrāntavikrāmiparipṛcchāprajñāpāramitāsūtra,  Sārdhadvisāhasrikā prajñāpāramitā]
SA_GE07_mbh_07_u	225	564	475	629	Mahābhārata: Droṇaparvan
SA_K12_bsu004_u	5	564	556	597	Sitātapatrā
SA_GSP28_mjnya04u	15	564	550	578	Jaiminīyanyāyamālāvistara: Adhyāya 4
SA_K10_bsu001_u	1	566	566	566	Āryānityatāsūtra [Anityatāsūtra]
SA_GSP28_mjnya02u	16	566	546	591	Jaiminīyanyāyamālāvistara: Adhyāya 2
SA_K14_visvantu	4	566	467	620	Viśvantarāvadāna
SA_K02_sspp2_1u	64	566	451	691	Śatasāhasrikā Prajñāpāramitā II-1 [Śatasāhasrikāprajñāpāramitāsūtra]
SA_GK19_bahcar4u	7	567	516	678	Harṣacarita: Ucchvāsa 4
SA_GSP31_isvskaru	2	569	552	587	Sāṃkhyakārikā [Sāṃkhyasaptati]
SA_MB_kaamikaagamauttarabhaagaHK	157	570	479	649	Unknown: kamikāgama uttarabhāga
SA_K10_bsu024_u	22	570	482	637	Mahāsannipātaratnaketudhāraṇīsūtra  [Ratnaketuparivarta, Ratnaketudhāraṇīsūtra]
SA_MB_kalikapuranaHK	176	570	500	685	Unknown: kālikāpurāṇam
SA_GE07_mbh_08_u	144	570	490	651	7
SA_T04_bsa024_u	1	571	571	571	Satyadvayāvatāranāma
SA_K03_pvspl_u	4	571	527	598	Pañcaviṃśatisāhasrikā Prajñāpāramitā [Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra]
SA_T02_n3011u	68	571	342	803	Laghukaumudīvyākaraṇa
SA_MB_kincittantraHK	7	571	529	614	Unknown: kiñcitatantra
SA_T04_canprasu	103	571	442	658	Prasannapadā [Madhyamakaśāstravṛtti]
SA_MB_pingalamataHK	78	571	454	637	Unknown: piṅgalāmata
SA_K07_pplg1__u	12	573	525	655	Larger Prajñāpāramitā [Pañcaviṃśatisāhasrikā Prajñāpāramitā, Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra]
SA_K10_adbhutdu	1	573	573	573	Adbhutadharmaparyāya [Adbhutadharmaparyāyasūtra]
SA_K07_ppfrag_u	19	574	482	640	Fragments of Prajnāpāramitā texts
SA_GSD37_gautdh_u	13	574	517	693	Gautama-Dharmasūtra
SA_K12_mahpratu	12	574	459	680	Mahāpratisarāmahāvidyārājñī
SA_MB_kamikapurvabhagaHK	110	575	502	647	Unknown: kamikāgama pūrvabhāga
SA_T01_n908u	1	576	576	576	Vajrayoginīpraṇāmaikaviśikā
SA_GS24_vakyp1pu	41	577	561	592	Vākyapadīya
SA_K10_n262u	1	577	577	577	Āryānityatāsūtra
SA_K12_bsu007_u	2	577	544	610	Śrīmahādevīvyākaraṇa [Śrīmahādevīvyākaraṇasūtra, Dvādaśadaṇḍakanāmāṣṭaśatavimalīkaraṇā]
SA_GSP28_mjnya01u	20	577	563	601	Jaiminīyanyāyamālāvistara: Adhyāya 1
SA_K05_adsp70-u	33	578	486	651	Aṣṭādaśasāhasrikā Prajñāpāramitā [Aṣṭādaśasāhasrikāprajñāpāramitāsūtra]
SA_T01_n836u	2	578	551	605	Catuḥṣaṣṭisaṃvarastotra
SA_K14_bsu015_u	1	578	578	578	Ekādaśamukha
SA_GR13_gorst1pu	2	578	551	606	Gorakṣaśataka
SA_K14_n2947u	3	579	566	614	Vajrasattvaniṣpādanasūtra [Vajrasattvasādhana]
SA_GS24_vakyp_pu	22	580	562	593	Vākyapadīya 1.1–3.7
SA_GK21_suksaptu	29	580	501	672	Śukasaptati
SA_T02_Kuladatta_Kriyāsaṃgrahapañjikā-partial_Tanemura_2020	1	581	581	581	
SA_T02_Vajragarbha_Ṣaṭsāhasrikā-Hevajratantra-Ch10_Sferra_2009	3	582	501	651	
SA_GSP30_partr_pu	1	582	582	582	Parātriṃśikā
SA_T01_n861u	1	582	582	582	Pañcarakṣādevīstotrāṇi
SA_GR14_vdhapadu	167	583	419	803	Viṣṇudharma
SA_K12_sdurst_u	26	583	505	607	Sarvadurgatipariśodhana Tantra
SA_T03_bsa050_u	8	583	492	745	Pāramitāsamāsa
SA_K06_bsu051_u	7	584	553	644	Vajracchedikā Prajñāpāramitā [Vajracchedikāprajñāpāramitāsūtra]
SA_MB_siddhilaksmiyutaksaramalamamtraHK	5	585	573	750	Unknown: siddhilakṣmīkyutākṣaramālāmantra
SA_K10_srajsgiu	21	585	554	649	Samādhirājasūtra
SA_K10_bsu032_u	2	586	579	592	Sukhāvatyamṛtavyūha [Sukhāvatī(amṛta)vyūhasūtra] aka the Smaller Sukhāvatīvyūha
SA_GSP29_nysu51pu	4	586	517	626	Nyāyasūtra 5.1
SA_GE07_mbh_06_u	135	587	497	655	Mahābhārata: Bhīṣmaparvan
SA_GSP31_iskar_u	2	588	512	663	Sāṃkhyakārikā [Sāṃkhyasaptati]
SA_T02_vadhdhdu	6	588	463	693	Vasudhārādhāraṇī 1 [Vasudhārādhāraṇīsūtra]
SA_K06_vchedppu	4	588	528	639	Vajracchedikā Prajñāpāramitā [Vajracchedikāprajñāpāramitāsūtra]
SA_K12_ekmuhr_u	2	590	584	595	Ekādaśamukhahṛdaya
SA_GP12_garup2_u	60	590	492	668	Garuḍa-Purāṇa 2
SA_MB_siddhilaksmiidevyarcanaHK	5	590	373	646	Unknown: siddhilakṣmīdevyārcana
SA_T02_Mañjuśrīyaśa_Laghukālacakratantra-Vimalaprabhā-Vol1_Upādhyāya_1986	57	590	513	666	
SA_K10_bsu019	27	591	547	644	Kāraṇḍavyūha Sūtra [Avalokiteśvaraguṇa-Kāraṇḍavyūha(sūtra)]
SA_K10_n269u	1	591	591	591	Āryatriratnānusmṛtisūtra
SA_T10_nrat_1_u	2	591	565	618	Ratnāvalī [Ratnamālā] 1
SA_T01_n810u	1	591	591	591	Maṅgalāṣṭaka
SA_T12_n801u	19	591	482	687	Chandoratnākara
SA_GS41_aryabhcu	92	591	574	605	Āryabhaṭīya
SA_GSD36_visnu_pu	35	593	446	846	Viṣṇusmṛti
SA_GE09_ram_02_u	106	594	433	853	Rāmāyaṇa: 2. Ayodhyākāṇḍa
SA_T02_abhnispu	1	595	595	595	Niṣpannayogāvali
SA_GV05_garbhupu	1	595	595	595	Garbha-Upaniṣad
SA_K06_vchedpgu	2	596	576	617	Vajracchedikā Prajñāpāramitā [Vajracchedikāprajñāpāramitāsūtra]
SA_GK23_kaulpradsam_u	11	596	549	762	Pradeśasaṃgraha
SA_GP12_nardp2_u	51	597	510	654	Nārada-Purāṇa 2 [Nāradīya-Purāṇa 2]
SA_K12_n2920u	8	598	545	655	Amoghapāśakalparāja Part VI
SA_T02_Vanaratna_Rahasyadīpikā_Rinpoche-Dvivedi_1990	59	598	408	935	
SA_T04_bsa015_u	3	598	552	765	Suhṛllekha
SA_T02_n1401u	1	598	598	598	Mahāmāyāsādhanopāyikā
SA_T01_n905u	1	599	599	599	Vajradevīstotra
SA_GSD36_manubhau	356	599	435	755	Manubhāṣya
SA_GK19_dandkc_u	36	601	584	622	Daśakumāracarita
SA_K14_bsu002_u	3	601	527	655	Āmoghapāśanāmahṛdaya sūtra [Ārya amoghapāśahṛdaya nāma mahāyānasūtra]
SA_GP12_mtp176pu	178	601	448	754	Matsya-Purāṇa
SA_K10_n526u	7	601	555	692	Sarvatathāgatādhiṣṭhānavyūhasūtra
SA_GR13_sivup_pu	13	601	547	710	Śiva-Upaniṣad
SA_GS40_vanighpu	6	602	569	632	Aṣṭāṅganighaṇṭu
SA_MB_merutantraHK	312	602	509	716	Unknown: merutantra
SA_K07_bsu033_u	14	602	556	671	Sukhāvatīvyūha
SA_GP12_garup3_u	41	603	425	838	Garuḍa-Purāṇa 3
SA_GK19_danddk1u	18	603	591	614	Daśakumāracarita: Ucchvāsas 3, 5 & 6
SA_K10_bsu037_u	7	603	554	669	Sarvatathāgatādhiṣṭhānavyūhasūtra
SA_K12_ganphrdu	1	603	603	603	Gaṇapatihṛdaya-Dhāraṇī
SA_K08_bsu040_u	1	604	604	604	Vinayaviniścaya upāliparipṛcchā [Vinayaviniścaya upāliparipṛcchā sūtra]
SA_K12_n2967u	29	604	546	700	Śrīguhyasamājatantra
SA_GSP33_gaukarpu	5	605	590	624	Āgamaśāstra [Gauḍapādakārikā, Gauḍapādīyakārikā]
SA_K12_manjn1pu	5	605	502	615	Mañjuśrīnāmasaṃgīti
SA_K12_sarvttsu	71	605	514	696	Sarvatathāgatatattvasaṅgraha [Sarvatathāgatatattvasaṃgraha]
SA_GS41_aryabh_u	3	605	590	607	Āryabhaṭīya
SA_GK19_bhattiku	43	606	597	623	Rāvaṇavadha [Bhaṭṭikāvya]
SA_K03_pspdut2u	129	606	470	700	Pañcaviṃśatisāhasrikā Prajñāpāramitā [Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra]
SA_GP10_bhp_05u	15	606	415	765	Bhāgavata-Purāṇa 5
SA_T09_bsa032	53	606	502	685	Jātakamālā
SA_K01_vinsutru	65	607	538	794	Vinayasūtra
SA_K12_grahmdhu	2	608	558	657	Grahamātṛkānāmadhāraṇī
SA_K09_bsu016_u	151	608	542	691	Gaṇḍavyūhasūtra [Gaṇḍavyūha]
SA_K10_bsu008_u	2	608	564	652	Āryabuddhabalādhānaprātihāryavikurvāṇanirdeśanāma Mahāyānasūtra
SA_K12_Āgama_Vajrabhairavatantra_Wenta_2020	4	608	505	721	
SA_GK21_ttrkhy1u	9	609	538	661	Tantrākhyāyika 1
SA_T10_nrat_4_u	2	609	597	621	Ratnāvalī [Ratnamālā] 3
SA_T03_bsa011_u	1	610	610	610	Prajñāpāramitāpiṇḍārtha
SA_MB_suksmagamaHK	67	610	524	778	Unknown: sūkṣmāgama
SA_K06_bsu052_u	6	610	403	678	Saptaśatikā prajñāpāramitā [Saptaśatikaprajñāpāramitāsūtra]
SA_GK16_dkavy	8	611	599	629	Kāvyādarśa
SA_T02_n800u	6	611	603	622	Sekoddeśapañjikā
SA_MB_suprabhedagamaHK	93	611	503	733	Unknown: suprabhedāgama
SA_GS26_jaytuppu	21	611	596	620	Tattvopaplavasiṃha
SA_K12_n2949u	79	613	496	715	Dhāraṇīsaṃgraha
SA_T11_bsa070_u	9	613	370	833	Upāyahṛdaya
SA_GR13_mrgt3mpu	3	613	602	623	Mṛgendrāgama [Mṛgendratantra]: 3. Caryāpāda
SA_T01_n870u	1	614	614	614	Buddhastotra
SA_GS24_panini_u	40	615	572	650	Aṣṭādhyāyī
SA_K14_ratnml_u	178	615	512	761	Ratnamālāvadāna
SA_MB_mahaavaakyopanisatCSX	2	616	222	1010	Unknown: mahāvākyopaniṣat
SA_T05_nagsaliu	17	616	546	765	Śālistambakamahāyānasūtraṭīkā [Āryaśālistambakamahāyānasūtraṭīkā]
SA_GK21_ttrkhy2u	6	617	518	673	Tantrākhyāyika 2
SA_GK19_suvasavu	13	618	603	625	Vāsavadattā
SA_T02_dipguhsu	9	618	590	753	Guhyasamājamaṇḍalavidhi
SA_K10_bsu021_u	59	618	542	695	Saddharmalaṅkāvatārasūtra [Laṅkāvatārasūtra]
SA_T02_Vajragarbha_Ṣaṭsāhasrikā-Hevajratantra-Ch1_Sferra_2009	2	618	593	644	
SA_GV05_gmandk_u	5	618	588	620	Māṇḍūkya-Upaniṣadkārikā [Gauḍapādakārikā, Māṇḍūkyakārikā, Āgamaśāstra]
SA_MB_kalottaragamaHK	77	619	490	782	Unknown: kālottara
SA_T02_n2877u	8	619	562	649	Bauddha pāribhāṣikāḥ śabdāḥ
SA_GSD36_katy2p_u	21	620	467	803	Kātyāyanasmṛti [Kātyāyanasmṛtisāroddhāra]
SA_K12_Āgama_Siddhayogeśvarīmatatantra_Torzok_1999	10	621	519	731	
SA_T02_nagpancu	7	621	552	639	Pañcakrama
SA_MB_GoraksayogasastraHK	2	621	573	669	gorakṣanātha attributed to: gorakṣayogaśāstram
SA_MB_satcakranirnayaHK	3	621	590	718	Unknown: ṣaṭcakranirṇaya
SA_T02_vadhdhju	2	622	587	656	Vasudhārādhāraṇī 3 [Vasudhārādhāraṇīsūtra]
SA_GS41_yogay2_u	11	623	621	643	Yogayātrā
SA_T02_vamvuppu	8	624	609	804	Mṛtyuvañcanopadeśa
SA_GS41_brhajj_u	2	624	619	628	Bṛhajjātaka
SA_T17_kukalpmu	15	624	569	718	Kalpanāmaṇḍitikā
SA_T06_trimsikatika	9	625	587	680	Triṃśikāṭīkā
SA_T02_Puṇḍarīka_Vimalaprabhā-Laghukālachakratantra_Upadhyaya_1986	59	626	521	699	
SA_K01_vinv13_u	3	626	448	646	Pārivāsikavastu
SA_GK19_bahcar5_pu	6	626	559	755	Harṣacarita: Ucchvāsa 5
SA_T02_vadhdhgu	1	627	627	627	Vasudhārādhāraṇī 2 [Sucandragṛhapatiparipṛcchā/Sucandrāvadāna]
SA_GR14_mdhvkmou	5	627	491	631	Kṛṣṇāmṛtamahārṇava
SA_T02_nitkarpu	3	628	564	691	Nityakarmapūjāvidhi
SA_GS41_brsphutu	5	628	608	628	Brāhmasphuṭasiddhānta
SA_GSP33_brahms2u	6	628	602	634	Brahmasūtra
SA_T10_bsa067_u	1	628	628	628	Bhavasaṃkrāntiparikathā
SA_GS41_brhats_u	70	628	607	646	Bṛhatsaṃhitā
SA_K05_adsp55-u	35	628	535	689	Aṣṭādaśasāhasrikā Prajñāpāramitā [Aṣṭādaśasāhasrikāprajñāpāramitāsūtra]
SA_K07_pplg202u	3	629	467	654	Larger Prajñāpāramitā [Pañcaviṃśatisāhasrikā Prajñāpāramitā, Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra]
SA_GR13_vinst_pu	8	629	529	698	Vīṇāśikhatantra
SA_GR13_kalhans_u	1	629	629	629	Ardhanārīśvarastotra
SA_K14_n191u	6	629	577	651	Kaṭhināvadāna
SA_MB_uddharakosaHK	16	630	557	723	Unknown: uddhārakośa
SA_GSP33_m_mbhtnu	110	630	520	722	Mahābhāratatātparyanirṇaya
SA_T01_n809u	1	631	631	631	Tārāstuti [Āryatārāstuti]
SA_K10_n206u	3	632	586	678	Avikalpapraveśadhāraṇī [Avikalpapraveśadhāraṇīsūtra]
SA_T02_n1426u	6	632	551	704	Tattvasiddhi
SA_T01_n2971u	1	632	632	632	Bhadracaryādeśanā
SA_K12_Āgama_Mañjuśrīnāmasaṃgīti_Davidson_1981	7	633	577	664	
SA_T01_n813u	1	634	634	634	Avalokiteśvarahayagrīvadhāraṇī
SA_GP12_nardp1_u	262	634	546	739	Nārada-Purāṇa 1 [Nāradīya-Purāṇa 1]
SA_T02_n2908u	4	634	606	649	Balimālikā
SA_K12_Āgama_Mañjuśrīnāmasaṃgīti_Minaev_1887	5	634	538	639	
SA_MB_guhyasamaajatantraHK	35	634	512	715	Unknown: guhyasamājatantra
SA_GS41_vivahapu	2	635	633	636	Vivāhapaṭala
SA_GK20_dramfrag_pu	8	635	386	771	Dramatic Fragments (buddhist)
SA_GR14_visvaksu	84	635	567	727	Viṣvaksenasaṃhitā
SA_MB_iisaanasivagurudevapaddhati4HK	90	636	563	767	īśānaśivagurudeva: īśānaśivagurudevapaddhati Volume 4
SA_T02_n1413u	17	636	554	693	Sarahapādasya dohākoṣa
SA_T02_n2998u	27	638	493	698	Laghutantraṭīkā
SA_T02_mrtvstsu	1	638	638	638	Mṛtyuvañcanasitatārāsādhana
SA_T01_n826u	1	638	638	638	Rūpastava
SA_K12_adhsatpu	3	638	512	649	Adhyardhaśatikā Prajñāpāramitā [Adhyardhaśatikāprajñāpāramitāsūtra]
SA_MB_prayascittasamuccayaHK	31	638	529	853	Unknown: prāyaścittasamuccaya
SA_K10_bsu026_u	1	639	639	639	Pratītyasamutpādamahāyānasūtra
SA_T01_n837u	2	639	634	644	Pīṭhastava
SA_MB_yoginiitantramHK	82	639	534	728	Unknown: yoginiitantra
SA_GK22_bharst_u	13	640	612	652	Śatakatraya: 1. Nītiśataka, 2. Śṛṅgāraśataka, 3. Vairāgyaśataka
SA_K12_n2922u	6	641	551	728	Amoghapāśakalparāja Part VII
SA_GSP33_brahmsuu	6	642	606	682	Brahmasūtra
SA_K06_bsu028pu	7	642	575	657	Ratnaguṇasaṃcayagāthā
SA_T02_n2946u	34	645	582	685	Paribhāṣāvṛtti
SA_GK19_bahcar2u	8	646	608	759	Harṣacarita: Ucchvāsa 2
SA_MB_kaamaratnatantraHK	36	646	515	677	Unknown: kāmaratnatantra
SA_K12_Āgama_Tantrasadbhāva_Bang_2018	20	647	498	730	
SA_K12_tarb108u	1	647	647	647	Tārābhaṭṭārikānāmāṣṭottaraśatakastotra
SA_T04_bsa047	20	648	584	778	Bhāvanākrama
SA_T05_bsa062_u	2	648	560	735	Śālistambakakārikā [Āryaśālistambakakārikā]
SA_GP12_lip_2__u	48	648	495	765	Liṅga-Purāṇa 2,1–55
SA_GK20_bhveni_u	33	648	588	730	Veṇīsaṃhāra
SA_GS41_yogay1_u	12	649	600	677	Yogayātrā
SA_T17_n2936u	6	651	606	734	Śabdabhedaprakāśa
SA_K03_psp_2-3u	50	651	539	694	Pañcaviṃśatisāhasrikā Prajñāpāramitā II-III [Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra]
SA_MB_kaalaanalatantraHK	23	651	535	743	Unknown: kālānalatantra
SA_K10_klpdrapu	10	651	584	784	Kalpadrumāvadānamālā
SA_T11_bsa061_u	10	652	611	762	Santānāntarasiddhiṭīkā
SA_T01_n822u	1	653	653	653	Narakoddhārastotra
SA_MB_KaularahasyaHK	54	653	530	812	Unknown: kaularahasya
SA_MB_T0274makutagamaHK	43	653	518	746	Unknown: mukuṭāgama
SA_GP12_dbhp_dgu	11	653	610	865	Devīgītā [Devībhāgavata-Purāṇa]
SA_MB_isaanagurudevapaddhati-II-HK	93	654	562	748	īśānaśivagurudeva: īśānaśivagurudevapaddhati Volume 2
