work	source	n_chunks	ling_est	nb	na	post_median	crI_lo95	crI_hi95	title
SA_GK16_visa06cu	anchor	46	1176	1200.0	1399.0	1286	1167	1402	Sāhityadarpaṇa: Pariccheda 6
SA_GK16_visa07cu	anchor	32	1219	1200.0	1399.0	1288	1174	1407	Sāhityadarpaṇa: Pariccheda 7
SA_GR13_uddamt_u	anchor	13	518	1250.0	1750.0	1289	1033	1554	Uḍḍāmareśvaratantra
SA_GK16_visa10cu	anchor	87	1245	1200.0	1399.0	1290	1175	1401	Sāhityadarpaṇa: Pariccheda 10
SA_GK16_visa03cu	anchor	45	1234	1200.0	1399.0	1291	1174	1404	Sāhityadarpaṇa: Pariccheda 3
SA_GK16_visa01cu	anchor	9	1271	1200.0	1399.0	1291	1173	1403	Sāhityadarpaṇa: Pariccheda 1
SA_GK16_visa02cu	anchor	15	1244	1200.0	1399.0	1291	1174	1408	Sāhityadarpaṇa: Pariccheda 2
SA_GK16_visa08cu	anchor	5	1325	1200.0	1399.0	1292	1174	1405	Sāhityadarpaṇa: Pariccheda 8
SA_GK16_visa09cu	anchor	2	1337	1200.0	1399.0	1293	1178	1411	Sāhityadarpaṇa: Pariccheda 9
SA_T16_n1289u	inferred	32	1006			1294	775	1619	Tarkabhāṣāṭīkā
SA_GS39_jyopancu	anchor	7	762	1260.0	1340.0	1296	1247	1343	Pañcasāyaka
SA_MB_maharthamanjariHK	anchor	54	1136	1275.0	1325.0	1297	1248	1346	maheśvarānanda: mahārthamañjarī
SA_MB_sidhaantasikhaamaniHK	anchor	92	1489	1100.0	1500.0	1297	1077	1522	śivayogiśivācārya: siddhāntaśikhāmaṇi
SA_GS41_phaladipika	anchor	30	852	1200.0	1599.0	1298	1087	1513	Phaladīpikā
SA_GS40_anandk_u	anchor	133	963	1200.0	1499.0	1301	1136	1468	Ānandakanda
SA_MB_mahanayaprakasa2HK	anchor	17	967	1200.0	1500.0	1306	1139	1477	śitikaṇṭha: mahānayaprakāśa
SA_GK16_viprud_u	anchor	56	978	1295.0	1323.0	1306	1254	1355	Pratāparudrīya [Pratāparudrayaśobhūṣaṇa]
SA_MB_pancaratraraksa1HK	anchor	39	1014	1268.0	1369.0	1313	1254	1374	vedāntadeśika: pāñcarātrarakṣā
SA_GSP29_vnyps11u	anchor	4	858	1268.0	1369.0	1315	1254	1374	Nyāyapariśuddhi: Adhyāya 1.1
SA_GSP29_vnyps12u	anchor	4	1127	1268.0	1369.0	1315	1254	1375	Nyāyapariśuddhi: Adhyāya 1.2
SA_GSP29_vnyps42u	anchor	3	1074	1268.0	1369.0	1315	1259	1375	Nyāyapariśuddhi: Adhyāya 4.2
SA_GSP29_vnyps51u	anchor	3	1110	1268.0	1369.0	1315	1256	1373	Nyāyapariśuddhi: Adhyāya 5.1
SA_GSP29_vnyps00u	anchor	2	782	1269.0	1370.0	1316	1258	1376	Nyāyapariśuddhi: Bhūmikā
SA_GSP29_vnyps52u	anchor	2	1140	1268.0	1369.0	1316	1256	1375	Nyāyapariśuddhi: Adhyāya 5.2
SA_GSP29_vnyps31u	anchor	6	1206	1268.0	1369.0	1316	1255	1376	Nyāyapariśuddhi: Adhyāya 3.1
SA_GSP29_vnyps41u	anchor	2	1118	1268.0	1369.0	1316	1256	1376	Nyāyapariśuddhi: Adhyāya 4.1
SA_GK16_simhrsku	anchor	20	939	1300.0	1350.0	1322	1273	1370	Rasārṇavasudhākara
SA_GK16_simhrs_u	anchor	71	1032	1300.0	1350.0	1322	1273	1369	Rasārṇavasudhākara
SA_GK19_lnksivsu	anchor	1	902	1290.0	1370.0	1328	1280	1379	Śivastuti
SA_MB_kamakalavilasaHK	anchor	17	894	1300.0	1375.0	1334	1286	1384	puṇyānanda: kāmakalāvilāsa
SA_MB_kaamakalaavilaasaHK	anchor	7	1191	1300.0	1375.0	1336	1287	1385	puṇyānanda: kāmakalāvilāsa
SA_GK16_visah1	anchor	72	1075	1300.0	1384.0	1339	1289	1388	Sāhityadarpaṇa
SA_MB_LallesvarivakyaniHK	anchor	5	987	1301.0	1392.0	1343	1289	1396	lalleśvarī: lalleśvarīvākyāni
SA_MB_SATARATNASAMGRAHAM_hk	anchor	28	1233	1300.0	1399.0	1347	1289	1404	umāpatiśivācārya: śataratnasaṃgraha
SA_GSP33_nysu__2u	anchor	177	1247	1330.0	1388.0	1356	1309	1404	Nyāyasudhā: Adhyāya 2
SA_GSP33_nysu__1u	anchor	136	1245	1330.0	1388.0	1356	1309	1405	Nyāyasudhā: Adhyāya 1
SA_GSP33_nysu__4u	anchor	35	1240	1330.0	1388.0	1356	1309	1407	Nyāyasudhā: Adhyāya 4, Pāda 1
SA_GSP33_nysu__3u	anchor	124	1290	1330.0	1388.0	1357	1308	1404	Nyāyasudhā: Adhyāya 3
SA_GS39_minsmaru	anchor	5	522	1300.0	1450.0	1358	1270	1446	Smaradīpikā
SA_K08_bsu062_u	anchor	84	672	1300.0	1500.0	1363	1247	1478	Guṇakāraṇḍavyūhasūtra
